Identificador Gr�fic intern;captive;comments_count;community_taxon_id;created_at;delta;description;iconic_taxon_id;id;id_please;identifications_count;location_is_exact;map_scale;mappable;num_identification_agreements;num_identification_disagreements;observation_photos_count;observation_sounds_count;observed_on;observed_on_string;place_guess;positional_accuracy;public_positional_accuracy;quality_grade;species_guess;taxon_id;time_observed_at;time_zone;updated_at;uri;user_id;uuid;zic_time_zone;user_login;iconic_taxon_name;created_at_utc;updated_at_utc;time_observed_at_utc;coordinates_obscured;Fenofase;project_id_0;project_title_0;photo_id_0;photo_large_url_0;photo_attribution_0;photo_id_1;photo_large_url_1;photo_attribution_1;photo_id_2;photo_large_url_2;photo_attribution_2;photo_id_3;photo_large_url_3;photo_attribution_3;taxon_name;taxon_rank;identif_created_at_0;identif_current_0;identif_id_0;identif_created_at_1;identif_current_1;identif_id_1;oauth_application_id;Codi del punt d'observaci�;Identificador d'individu;Codi de l'observador;identif_created_at_2;identif_current_2;identif_id_2;identif_created_at_3;identif_current_3;identif_id_3;positioning_device;positioning_method;out_of_range;photo_id_4;photo_large_url_4;photo_attribution_4;photo_id_5;photo_large_url_5;photo_attribution_5;photo_id_6;photo_large_url_6;photo_attribution_6;project_id_1;project_title_1;project_id_2;project_title_2;Fecha de la identificaci�n (dwc);Calle o plaza;identif_created_at_4;identif_current_4;identif_id_4;identif_created_at_5;identif_current_5;identif_id_5;Altitud;Nom vulgar;H�bitat o ecosistema;Zona protegida;project_id_3;project_title_3;identif_taxon_change_id_2;identif_updated_at_2;identif_user_id_2;identif_user_login_2;identif_user_name_2;identif_taxon_name_2;identif_taxon_rank_2;identif_taxon_change_id_3;identif_updated_at_3;identif_user_id_3;identif_user_login_3;identif_user_name_3;identif_taxon_name_3;identif_taxon_rank_3;geoprivacy;Si �s planta: tipus de fulla;Si �s planta: tipus de dispersi� de les llavors;identif_created_at_6;identif_current_6;identif_id_6;Enlace a la foto;usuario externo;Estadio;Comunidad aut�noma;Nombre del paraje;site_id;cached_votes_total;last_indexed_at;captive_flag;faves_count;Centre/Entitat;Identificador de l'individu observat;owners_identification_from_vision;taxon_geoprivacy;longitude;latitude
175;T;0;2168;2019-06-04T04:49:26-05:00;F;CAT - Floraci� del magraner--ESP - Granado floreciendo--ENG - Flowering pomegranate;12;208474;F;2;F;14;F;1;0;1;0;26/05/2019;26/05/2019;Piera - Can Bonastre;6;6;casual;Punica granatum;2168;;Madrid;2019-09-30T17:23:15-05:00;http://natusfera.gbif.es/observations/208474;1731;b966adf2-1aeb-4f25-b46c-2f01e8acd786;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:49:26Z;2019-09-30T22:23:15Z;;F;Primeres flors obertes;302;RitmeNatura - Observacions ocasionals;271358;http://natusfera.gbif.es/attachments/local_photos/files/271358/large/20190526-Magraner_2.jpg?1559641770;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Punica granatum;species;2019-06-04T04:49:26-05:00;T;257034;2019-06-07T04:32:28-05:00;T;258454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.777302;41.501779
176;T;0;6322;2019-06-04T04:45:13-05:00;F;CAT - Poma madurant--ESP - Manzana madurando--ENG - Ripening apple;12;208473;F;2;F;12;F;1;0;1;0;26/05/2019;26/05/2019;Piera - Can Bonastre;3;3;casual;Malus domestica;6322;;Madrid;2019-09-30T17:23:14-05:00;http://natusfera.gbif.es/observations/208473;1731;79e291df-9bf9-4b93-8705-17eaefe1cc54;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:45:13Z;2019-09-30T22:23:14Z;;F;Fruits mig madurs (aproximadament el 50% dels fruits tenen color);314;RitmeNatura - Observacions recurrents;271357;http://natusfera.gbif.es/attachments/local_photos/files/271357/large/20190526-Pomera__1.jpg?1559641520;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Malus domestica;species;2019-06-04T04:45:13-05:00;T;257033;2019-06-07T04:32:37-05:00;T;258455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.777525;41.501851
177;T;0;221;2019-06-04T04:43:20-05:00;F;CAT - Olivera en floraci�--ESP - Olivo en floraci�n--ENG - Olive tree in full bloom;12;208472;F;2;F;14;F;1;0;1;0;26/05/2019;26/05/2019;Piera - Can Bonastre;3;3;casual;Olea europaea;221;;Madrid;2019-09-30T17:23:13-05:00;http://natusfera.gbif.es/observations/208472;1731;f6470d7d-11b4-4a19-9331-3b2c669d8466;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:43:20Z;2019-09-30T22:23:13Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);314;RitmeNatura - Observacions recurrents;271356;http://natusfera.gbif.es/attachments/local_photos/files/271356/large/20190526-Olivera_florint__6.jpg?1559641403;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Olea europaea;species;2019-06-04T04:43:20-05:00;T;257032;2019-06-07T04:32:49-05:00;T;258456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.777525;41.501851
178;F;0;2685;2019-06-04T04:41:33-05:00;F;CAT - Cireres madures--ESP - Cerezas maduras--ENG - Ripened cherries;12;208471;F;3;F;15;T;2;0;1;0;26/05/2019;26/05/2019;Piera - Can Bonastre;3;3;research;Prunus avium;2685;;Madrid;2019-09-30T17:23:13-05:00;http://natusfera.gbif.es/observations/208471;1731;29d51c73-0885-4302-8790-6141313558f4;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:41:33Z;2019-09-30T22:23:13Z;;F;Fruits mig madurs (aproximadament el 50% dels fruits tenen color);314;RitmeNatura - Observacions recurrents;271355;http://natusfera.gbif.es/attachments/local_photos/files/271355/large/20190526-Cireres_madurant__03.jpg?1559641295;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Prunus avium;species;2019-06-04T04:41:33-05:00;T;257031;2019-06-07T04:32:53-05:00;T;258457;;;;;2019-07-01T06:04:45-05:00;T;266033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.777525;41.501851
179;T;0;2075;2019-06-04T04:07:35-05:00;F;CAT - Inici de la formaci� del ra�m--ESP - Inicio de la formaci�n de la uva--ENG - Beginning of the formation of the grape;12;208462;F;2;F;15;F;1;0;1;0;01/04/2019;01/04/2019;Piera - Can Bonastre;6;6;casual;vitis vinifera;2075;;Madrid;2019-09-30T17:23:11-05:00;http://natusfera.gbif.es/observations/208462;1731;b07376cf-bc9e-4e13-bac7-4274a39f4bcf;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:07:35Z;2019-09-30T22:23:11Z;;F;Primers fruits comencen a agafar color;314;RitmeNatura - Observacions recurrents;271354;http://natusfera.gbif.es/attachments/local_photos/files/271354/large/20190526-Ra%C3%AFm_en_desenvolupament__1.jpg?1559640795;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Vitis vinifera;species;2019-06-04T04:07:35-05:00;T;257015;2019-06-07T04:32:57-05:00;T;258458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.777246;41.501788
180;T;0;2075;2019-06-04T04:02:31-05:00;F;CAT - Vinya brotant--ESP - Cepa brotando--ENG - Grape vine sprouting leaves;12;208461;F;2;F;14;F;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat - Torreblanca;398;398;casual;vitis vinifera;2075;;Madrid;2019-09-30T17:23:11-05:00;http://natusfera.gbif.es/observations/208461;1731;dca322c7-7bf6-49dc-8473-e8ba983206a9;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:02:31Z;2019-09-30T22:23:11Z;;F;Brot de les primeres fulles;51;Biodiversitat a Sant Feliu de Llobregat;271341;http://natusfera.gbif.es/attachments/local_photos/files/271341/large/20190401-Ra%C3%AFm-Torreblanca__5a.jpg?1559638957;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Vitis vinifera;species;2019-06-04T04:02:32-05:00;T;257014;2019-06-07T04:33:02-05:00;T;258459;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.054966;41.379034
181;F;0;;2019-06-04T04:00:28-05:00;F;CAT - Brotaci� de les fulles del pl�tan--ESP - Pl�tano de sombra brotando hojas--ENG - Oriental plane sprouting leaves;12;208460;F;1;F;17;T;0;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat - Centre;12;12;casual;Platanus � hispanica;197;;Madrid;2019-09-30T17:23:10-05:00;http://natusfera.gbif.es/observations/208460;1731;28c6debc-db77-4b91-b614-6faff57e6627;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T09:00:28Z;2019-09-30T22:23:10Z;;F;Brot de les primeres fulles;51;Biodiversitat a Sant Feliu de Llobregat;271340;http://natusfera.gbif.es/attachments/local_photos/files/271340/large/20190401-Pl%C3%A0tan-Torreblanca__3.jpg?1559638830;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Platanus �hispanica;species;2019-06-04T04:00:28-05:00;T;257013;;;;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.042864;41.380272
182;F;0;2685;2019-06-04T03:56:10-05:00;F;CAT - Brotaci� de fulles del cirerer--ESP - Brotaci�n de las hojas de cerezo--ENG - Cherry tree leaves sprouting;12;208459;F;2;F;14;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Mas Llu�-;99;99;research;Prunus avium;2685;;Madrid;2019-09-30T17:23:09-05:00;http://natusfera.gbif.es/observations/208459;1731;a1c49422-54e5-4611-9878-81ad84ab8140;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:56:10Z;2019-09-30T22:23:09Z;;F;Brot de les primeres fulles;51;Biodiversitat a Sant Feliu de Llobregat;271339;http://natusfera.gbif.es/attachments/local_photos/files/271339/large/20190401-Cirerer-MasLlu%C3%AD-__12.jpg?1559638575;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Prunus avium;species;2019-06-04T03:56:10-05:00;T;257012;2019-06-07T04:33:05-05:00;T;258460;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.058017;41.389524
183;F;0;2685;2019-06-04T03:52:23-05:00;F;CAT - Cirerer en plena floraci�--ESP - Cerezo en plena floraci�n--ENG - Full bloming cherry tree;12;208457;F;2;F;14;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Mas Llu�-;99;99;research;Prunus avium;2685;;Madrid;2019-09-30T17:23:08-05:00;http://natusfera.gbif.es/observations/208457;1731;774a9bf4-c3dd-48f8-a070-12375647b52b;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:52:23Z;2019-09-30T22:23:08Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);51;Biodiversitat a Sant Feliu de Llobregat;271337;http://natusfera.gbif.es/attachments/local_photos/files/271337/large/20190401-Cirerer-MasLlu%C3%AD-__13.jpg?1559638349;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Prunus avium;species;2019-06-04T03:52:23-05:00;T;257010;2019-06-07T04:33:38-05:00;T;258461;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.058017;41.389524
184;F;0;300;2019-06-04T03:48:58-05:00;F;CAT - Ar� blanc a punt de florir--ESP - Majuelo a punto de floraci�n--ENG - Hawthorn buds just before blooming;12;208454;F;2;F;13;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Torreblanca;49;49;research;Crataegus monogyna;300;;Madrid;2019-09-30T17:23:07-05:00;http://natusfera.gbif.es/observations/208454;1731;1c69f5e2-70db-40b5-8f8a-35915c68b0d8;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:48:58Z;2019-09-30T22:23:07Z;;F;Primers borrons o gemmes visibles (sense obrir-se);51;Biodiversitat a Sant Feliu de Llobregat;271330;http://natusfera.gbif.es/attachments/local_photos/files/271330/large/20190401-Ar%C3%A7_blanc-Torreblanca__1.jpg?1559638145;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Crataegus monogyna;species;2019-06-04T03:48:58-05:00;T;257007;2019-06-07T04:33:43-05:00;T;258462;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.057005;41.377422
185;F;0;1148;2019-06-04T03:44:15-05:00;F;CAT - Rosella florint--ESP - Amapola floreciendo--ENG - Poppies flowering;12;208451;F;2;F;15;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Mas Llu�-;99;99;research;Papaver rhoeas;1148;;Madrid;2019-09-30T17:23:05-05:00;http://natusfera.gbif.es/observations/208451;1731;bb1e0fb8-0f92-47d1-acfc-f18e6f6c46d2;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:44:15Z;2019-09-30T22:23:05Z;;F;Primeres flors obertes;51;Biodiversitat a Sant Feliu de Llobregat;271325;http://natusfera.gbif.es/attachments/local_photos/files/271325/large/20190401-Roselles-MasLlu%C3%AD__4.jpg?1559637857;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Papaver rhoeas;species;2019-06-04T03:44:15-05:00;T;257004;2019-06-07T04:33:47-05:00;T;258463;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;302;RitmeNatura - Observacions ocasionals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.057638;41.390583
186;F;0;1148;2019-06-04T03:44:15-05:00;F;CAT - Rosella florint--ESP - Amapola floreciendo--ENG - Poppies flowering;12;208451;F;2;F;15;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Mas Llu�-;99;99;research;Papaver rhoeas;1148;;Madrid;2019-09-30T17:23:05-05:00;http://natusfera.gbif.es/observations/208451;1731;bb1e0fb8-0f92-47d1-acfc-f18e6f6c46d2;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:44:15Z;2019-09-30T22:23:05Z;;F;Primeres flors obertes;51;Biodiversitat a Sant Feliu de Llobregat;271325;http://natusfera.gbif.es/attachments/local_photos/files/271325/large/20190401-Roselles-MasLlu%C3%AD__4.jpg?1559637857;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Papaver rhoeas;species;2019-06-04T03:44:15-05:00;T;257004;2019-06-07T04:33:47-05:00;T;258463;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;302;RitmeNatura - Observacions ocasionals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.057638;41.390583
187;F;0;762;2019-06-04T03:39:08-05:00;F;CAT - Borratja florida--ESP - Borraja florecida--ENG - Borage flowering;12;208447;F;2;F;11;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Mas Llu�-;49;49;research;Borago officinalis;762;;Madrid;2020-03-15T17:42:05-05:00;http://natusfera.gbif.es/observations/208447;1731;88f62705-71b8-42fa-a502-ce91e1201ec0;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:39:08Z;2020-03-15T22:42:05Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);51;Biodiversitat a Sant Feliu de Llobregat;271321;http://natusfera.gbif.es/attachments/local_photos/files/271321/large/20190401-Borratja-MasLlu%C3%AD__24.jpg?1559637554;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Borago officinalis;species;2019-06-04T03:39:08-05:00;T;257000;2019-06-07T04:33:53-05:00;T;258464;;;;;;;;;;;;;;;;;;;;;;;302;RitmeNatura - Observacions ocasionals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.056608;41.391516
188;F;0;8281;2019-06-04T03:36:48-05:00;F;CAT - Porrass� florit--ESP - Gamoncillo florecido--ENG - Onion-leafed asphodel flowering;12;208446;F;2;F;14;T;1;0;1;0;01/04/2019;01/04/2019;Sant Feliu de Llobregat-Mas Llu�-;49;49;research;Asphodelus fistulosus;8281;;Madrid;2019-09-30T17:23:03-05:00;http://natusfera.gbif.es/observations/208446;1731;696e0383-2868-48e8-8e0f-1c2d37675f20;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-04T08:36:48Z;2019-09-30T22:23:03Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);51;Biodiversitat a Sant Feliu de Llobregat;271320;http://natusfera.gbif.es/attachments/local_photos/files/271320/large/20190401-Asphodellus_fist-MasLlu%C3%AD__2.jpg?1559637415;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Asphodelus fistulosus;species;2019-06-04T03:36:48-05:00;T;256999;2019-06-07T04:33:58-05:00;T;258465;;;;;;;;;;;;;;;;;;;;;;;302;RitmeNatura - Observacions ocasionals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.056608;41.391516
189;F;0;;2019-06-03T07:10:54-05:00;F;CAT - Presseguers madurant fruit--ESP - Melocotoneros madurando --ENg - Peaches ripening;12;208184;F;1;F;15;T;0;0;1;0;23/05/2019;23/05/2019;Sant Joan Desp� - les Begudes;49;49;casual;Prunus persica;769;;Madrid;2019-09-30T17:22:40-05:00;http://natusfera.gbif.es/observations/208184;1731;f2a4f675-db77-4eca-9315-014e7a782b0a;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T12:10:54Z;2019-09-30T22:22:40Z;;F;Fruits mig madurs (aproximadament el 50% dels fruits tenen color);302;RitmeNatura - Observacions ocasionals;271048;http://natusfera.gbif.es/attachments/local_photos/files/271048/large/20190523_Presseguers_1.jpg?1559563859;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Prunus persica;species;2019-06-03T07:10:54-05:00;T;256679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.050698;41.370902
190;F;0;324;2019-06-03T07:02:03-05:00;F;CAT - Inici de la floraci� de l'esbarzer--ESP - Incio de la florci�n de la zarzamora--ENG - Wild blackberry begins to bloom;12;208182;F;2;F;14;T;1;0;1;0;23/05/2019;23/05/2019;Sant Feliu de Llobregat-Mas Llu�-;99;99;research;Rubus ulmifolius;324;;Madrid;2019-09-30T17:22:39-05:00;http://natusfera.gbif.es/observations/208182;1731;9a94cd55-289b-46ab-b3ff-cfc78331a73d;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T12:02:03Z;2019-09-30T22:22:39Z;;F;Primeres flors obertes;51;Biodiversitat a Sant Feliu de Llobregat;271045;http://natusfera.gbif.es/attachments/local_photos/files/271045/large/20190523_Esbarzer_florit_1.jpg?1559563329;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Rubus ulmifolius;species;2019-06-03T07:02:03-05:00;T;256677;2019-08-01T06:27:03-05:00;T;280294;;;;;;;;;;;;;;;;;;;;;;;302;RitmeNatura - Observacions ocasionals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.059571;41.389707
191;F;0;302;2019-06-03T06:55:53-05:00;F;CAT - Ginesta desenvolupant beines amb llavors--ESP - Retama desarrollando vainas con semillas--ENG - Spanish broom developing seed pods;12;208181;F;2;F;6;T;1;0;1;0;20/05/2019;20/05/2019;Sant Feliu de Llobregat - La Salut;99;99;research;spartium junceum;302;;Madrid;2019-09-30T17:22:38-05:00;http://natusfera.gbif.es/observations/208181;1731;882433e8-3bd8-48d2-9a02-6bdc28f00a95;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T11:55:53Z;2019-09-30T22:22:38Z;;F;Primers fruits comencen a agafar color;51;Biodiversitat a Sant Feliu de Llobregat;271044;http://natusfera.gbif.es/attachments/local_photos/files/271044/large/20190520_ginesta4.jpg?1559562956;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Spartium junceum;species;2019-06-03T06:55:53-05:00;T;256676;2019-06-03T09:39:45-05:00;T;256759;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.057774;41.393599
192;F;0;1148;2019-06-03T06:49:13-05:00;F;CAT - Encara floreixen roselles a Collserola--ESP - Todav�a florecen amapolas en Collserola--ENG - Still blooming poppies in Collserola;12;208180;F;2;F;14;T;1;0;1;0;20/05/2019;20/05/2019;Sant Feliu de Llobregat - La Salut;99;99;research;Papaver rhoeas;1148;;Madrid;2019-09-30T17:22:38-05:00;http://natusfera.gbif.es/observations/208180;1731;1b440fd7-dc0d-481b-adfc-df29d20c098b;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T11:49:13Z;2019-09-30T22:22:38Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);51;Biodiversitat a Sant Feliu de Llobregat;271043;http://natusfera.gbif.es/attachments/local_photos/files/271043/large/20190520_Rosella.jpg?1559562560;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Papaver rhoeas;species;2019-06-03T06:49:14-05:00;T;256674;2019-06-03T09:39:55-05:00;T;256760;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.057774;41.393599
193;F;0;313;2019-06-03T06:44:42-05:00;F;CAT - Estepa blanca madurant llavors--ESP - Jara blanca madurando semillas--ENG - Grey leaved cistus ripening seeds;12;208179;F;2;F;15;T;1;0;1;0;20/05/2019;20/05/2019;Sant Feliu de Llobregat - La Salut;12;12;research;Cistus albidus;313;;Madrid;2019-09-30T17:22:37-05:00;http://natusfera.gbif.es/observations/208179;1731;58fcaf24-200c-4de7-be2a-9b55dca0e26f;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T11:44:42Z;2019-09-30T22:22:37Z;;F;Primers fruits comencen a agafar color;51;Biodiversitat a Sant Feliu de Llobregat;271042;http://natusfera.gbif.es/attachments/local_photos/files/271042/large/20190520_Estepa_blanca_3.jpg?1559562285;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Cistus albidus;species;2019-06-03T06:44:42-05:00;T;256673;2019-06-03T09:40:01-05:00;T;256761;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.058357;41.393641
194;F;0;475;2019-06-03T06:36:01-05:00;F;CAT - Ametllons madurant--ESP - Almendrones madurando--ENG - Almonds ripening;12;208178;F;2;F;11;T;1;0;1;0;20/05/2019;20/05/2019;Sant Feliu de Llobregat - Mas Llu�;99;99;research;Prunus dulcis;475;;Madrid;2019-09-30T17:22:36-05:00;http://natusfera.gbif.es/observations/208178;1731;4aeacbc3-6b1b-4f50-8141-b7a4854813da;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T11:36:01Z;2019-09-30T22:22:36Z;;F;Primers fruits comencen a agafar color;51;Biodiversitat a Sant Feliu de Llobregat;271041;http://natusfera.gbif.es/attachments/local_photos/files/271041/large/20190520_ametllons_1.jpg?1559561765;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Prunus dulcis;species;2019-06-03T06:36:01-05:00;T;256671;2019-06-07T04:34:42-05:00;T;258469;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.058682;41.39017
195;F;0;483;2019-06-03T06:32:51-05:00;F;CAT - Alfals florint--ESP - Alfalfa floreciendo--ENG - Flowering alfalfa;12;208177;F;2;F;14;T;1;0;1;0;20/05/2019;20/05/2019;Sant Feliu de Llobregat - Mas Llu�;99;99;research;Medicago sativa;483;;Madrid;2019-09-30T17:22:36-05:00;http://natusfera.gbif.es/observations/208177;1731;d0a0d356-b91f-4791-974a-7b2437c42655;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T11:32:51Z;2019-09-30T22:22:36Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);51;Biodiversitat a Sant Feliu de Llobregat;271040;http://natusfera.gbif.es/attachments/local_photos/files/271040/large/20190520_Alfals_florint_2.jpg?1559561577;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Medicago sativa;species;2019-06-03T06:32:51-05:00;T;256670;2019-06-03T09:40:10-05:00;T;256762;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.058682;41.39017
196;T;0;221;2019-06-03T06:26:03-05:00;F;CAT - Olivera florint--ESP - Olivo floreciendo--ENG - Olive tree flowering;12;208176;F;2;F;9;F;1;0;1;0;15/05/2019;15/05/2019;Sant Feliu de Llobregat-Torreblanca;99;99;casual;Olea europaea;221;;Madrid;2019-09-30T17:22:35-05:00;http://natusfera.gbif.es/observations/208176;1731;4c332e9b-6085-4e8d-aa5e-a703f07fdb40;Europe/Madrid;xavi-de-yzaguirre;Plantae;2019-06-03T11:26:03Z;2019-09-30T22:22:35Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);51;Biodiversitat a Sant Feliu de Llobregat;271039;http://natusfera.gbif.es/attachments/local_photos/files/271039/large/20190515_olivera-en_flor3.jpg?1559561166;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Olea europaea;species;2019-06-03T06:26:03-05:00;T;256668;2019-06-03T09:40:15-05:00;T;256763;;;;;;;;;;;;;;;;;;;;;;;314;RitmeNatura - Observacions recurrents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.054573;41.378861
